CASE,LOCATION,COMLOCATION,COMLOCATION_UDA_PROD_AREA,COMLOCATION_UDA_TECHNOLOGY,COMLOCATION_UDA_SHARED,COMLOCATION_UDA_PACKAGE,CAPACITY,UOM,BUILDPOLICY,BUILDEARLYLIMIT,BUILD_AHEAD,START,END,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,COMMODITY,VENDOR,CATEGORY,RELATION,PLANNER,TIME_LEVEL,CORRESPONDS
-,1000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,1/15/24,1/21/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,1/15/24,1/21/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,1/22/24,1/28/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,1/22/24,1/28/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,25,WEEK,-,-,-,1/29/24,2/4/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,25,WEEK,-,-,-,1/29/24,2/4/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,28,WEEK,-,-,-,2/5/24,2/11/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,28,WEEK,-,-,-,2/5/24,2/11/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,28,WEEK,-,-,-,2/12/24,2/18/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,28,WEEK,-,-,-,2/12/24,2/18/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,28,WEEK,-,-,-,2/19/24,2/25/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,28,WEEK,-,-,-,2/19/24,2/25/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,25,WEEK,-,-,-,2/26/24,3/3/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,25,WEEK,-,-,-,2/26/24,3/3/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/4/24,3/10/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/4/24,3/10/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/11/24,3/17/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/11/24,3/17/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/18/24,3/24/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/18/24,3/24/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,G10,21,WEEK,-,-,-,3/25/24,3/31/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
