PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost,UDA_string_-_-_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
VirtualProduct_280-1085_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-1085_A2,-,-,-,-,-,-,1,-,-,-
280-0926,1000,ROUTE_dummy,1,0,BOM_280-0926,-,-,-,-,-,-,1,-,-,-
504-1319,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1319,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-1085_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-1085_A2,-,-,-,-,-,-,1,-,-,-
280-0926-02,1000,ROUTE_dummy,1,0,BOM_280-0926-02,-,-,-,-,-,-,1,-,-,-
504-1548,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1548,-,-,-,-,-,-,1,-,-,-
280-0802,1000,ROUTE_COP_Preform,1,0,BOM_280-0802,-,-,-,-,-,-,1,-,-,-
280-0695,1000,ROUTE_COP_Preform,1,0,BOM_280-0695,-,-,-,-,-,-,1,-,-,-
500-3418,1000,ROUTE_COP_Module,1,0,BOM_500-3418,-,-,-,-,-,-,1,-,-,-
502-1713,1000,ROUTE_dummy,1,0,BOM_502-1713,-,-,-,-,-,-,1,-,-,-
260-0128,1000,ROUTE_COP_OB,1,0,BOM_260-0128,-,-,-,-,-,-,1,-,-,-
280-1065,1000,ROUTE_COP_CB,1,0,BOM_280-1065,-,-,-,-,-,-,1,-,-,-
320-0518,1000,ROUTE_COP_TX-COC,1,0,BOM_320-0518,-,-,-,-,-,-,1,-,-,-
280-1071-27,1000,ROUTE_COP_TX-COC,1,0,BOM_280-1071-27,-,-,-,-,-,-,1,-,-,-
